,PTS_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,3P%,FT%,eFG%,3PA_per36,FTA_per36,TOV_per36,PF_per36
PTS_per36,1.0,-0.0629352222122632,0.144135375768874,0.0639722409413515,-0.104420161009232,0.1929553378184742,0.3732220719388769,0.3135815408539133,0.1600525092484612,0.6755815297939328,0.3785468910571327,-0.322696680347619
TRB_per36,-0.0629352222122632,1.0,-0.5521885361920705,-0.3080388516138876,0.6239132098391069,-0.4802042092645619,-0.415367341547505,0.1517580185264337,-0.5082542552088303,0.2335911546075146,-0.0563009807802599,0.429903264068542
AST_per36,0.144135375768874,-0.5521885361920705,1.0,0.4798080499558336,-0.4378102484239062,0.2859924203859146,0.3035999875876533,-0.1012215911135924,0.211273629629666,0.0155779225962283,0.4796018659242106,-0.3898899627484326
STL_per36,0.0639722409413515,-0.3080388516138876,0.4798080499558336,1.0,-0.258494815013094,0.1561378563857999,0.0920187085659524,-0.10336661169506,0.0945683579158337,0.0250832454754078,0.2613355185688223,-0.1261054685364882
BLK_per36,-0.104420161009232,0.6239132098391069,-0.4378102484239062,-0.258494815013094,1.0,-0.3937566599284171,-0.3703688332211785,0.1354644110701919,-0.3936786165900029,0.1280823944849747,-0.0651847478770506,0.3842811637418173
3P%,0.1929553378184742,-0.4802042092645619,0.2859924203859146,0.1561378563857999,-0.3937566599284171,1.0,0.3509895506591013,0.1138433903588536,0.5992954164660471,-0.1491279633729094,-0.0593842193356266,-0.4142937055458408
FT%,0.3732220719388769,-0.415367341547505,0.3035999875876533,0.0920187085659524,-0.3703688332211785,0.3509895506591013,1.0,0.0591166867211591,0.3267746877472356,0.0636383318372327,0.0553494169586642,-0.3838649222398979
eFG%,0.3135815408539133,0.1517580185264337,-0.1012215911135924,-0.10336661169506,0.1354644110701919,0.1138433903588536,0.0591166867211591,1.0,0.1001985064579802,0.1131595173112221,-0.1196363568737812,-0.1191137639856809
3PA_per36,0.1600525092484612,-0.5082542552088303,0.211273629629666,0.0945683579158337,-0.3936786165900029,0.5992954164660471,0.3267746877472356,0.1001985064579802,1.0,-0.2434897824919482,-0.1359729835512604,-0.4192968265301782
FTA_per36,0.6755815297939328,0.2335911546075146,0.0155779225962283,0.0250832454754078,0.1280823944849747,-0.1491279633729094,0.0636383318372327,0.1131595173112221,-0.2434897824919482,1.0,0.4601636098861473,-0.0092671401935578
TOV_per36,0.3785468910571327,-0.0563009807802599,0.4796018659242106,0.2613355185688223,-0.0651847478770506,-0.0593842193356266,0.0553494169586642,-0.1196363568737812,-0.1359729835512604,0.4601636098861473,1.0,0.0680237931391366
PF_per36,-0.322696680347619,0.429903264068542,-0.3898899627484326,-0.1261054685364882,0.3842811637418173,-0.4142937055458408,-0.3838649222398979,-0.1191137639856809,-0.4192968265301782,-0.0092671401935578,0.0680237931391366,1.0
